Running simulation for principal_mode_weight=1 and n_fluences=20
Weights: [100   0   0]
Tensors initialization on device cuda
Multiprobe = grad

('MSE', None) RECONSTRUCTIONS

Reconstruction for fluence = 0.09999999999999999 photons/pixel
Epoch 0: loss = 0.000638033845461905
Epoch 1: loss = 0.000638033845461905
Epoch 2: loss = 0.000638033845461905
Epoch 3: loss = 0.000638033845461905
Epoch 4: loss = 0.000638033845461905
Epoch 5: loss = 0.000638033845461905
Early stopping at epoch 5 with loss 0.000638033845461905
Reconstruction for fluence = 0.23357214690901223 photons/pixel
Epoch 0: loss = 0.001461600186303258
Epoch 1: loss = 0.001461600186303258
Epoch 2: loss = 0.001461600186303258
Epoch 3: loss = 0.001461600186303258
Epoch 4: loss = 0.001461600186303258
Epoch 5: loss = 0.001461600186303258
Early stopping at epoch 5 with loss 0.001461600186303258
Reconstruction for fluence = 0.5455594781168519 photons/pixel
Epoch 0: loss = 0.0032816389575600624
Epoch 1: loss = 0.003281539538875222
Epoch 2: loss = 0.003281440120190382
Epoch 3: loss = 0.0032813409343361855
Epoch 4: loss = 0.003281241748481989
Epoch 5: loss = 0.0032811423297971487
Epoch 6: loss = 0.0032810429111123085
Epoch 7: loss = 0.003280943725258112
Epoch 8: loss = 0.0032808443065732718
Epoch 9: loss = 0.0032807448878884315
Epoch 10: loss = 0.003280645702034235
Epoch 11: loss = 0.003280546283349395
Epoch 12: loss = 0.0032804468646645546
Epoch 13: loss = 0.003280347678810358
Epoch 14: loss = 0.0032802484929561615
Epoch 15: loss = 0.0032801490742713213
Epoch 16: loss = 0.0032800498884171247
Epoch 17: loss = 0.0032799504697322845
Epoch 18: loss = 0.003279851283878088
Epoch 19: loss = 0.0032797520980238914
Epoch 20: loss = 0.003279652912169695
Epoch 21: loss = 0.0032795537263154984
Epoch 22: loss = 0.0032794540748000145
Epoch 23: loss = 0.003279354888945818
Epoch 24: loss = 0.003279255935922265
Epoch 25: loss = 0.003279156517237425
